CCC,CUM. INPUT (MU),CUM. DEMAND(MU),CUM. COLLEC. (MU),CUM. AT&C LOSS,CUM. DIST. LOSS,COLL. EFF.,MONTH,YEAR
KUSHIDA,35.31,24.04,25.75,31.92%,31.92%,100.00%,2,2023
PANDUA,34.81,19.02,18.68,46.33%,45.36%,98.24%,2,2023
North Malda Div Total,522.37,328.5,336.87,37.11%,37.11%,100.00%,2,2023
RAIGANJ,95.63,72.42,78.8,24.27%,24.27%,100.00%,2,2023
KALIAGANJ,71.65,61.31,62.88,14.43%,14.43%,100.00%,2,2023
HEMTABAD,29.99,25.2,26.85,15.95%,15.95%,100.00%,2,2023
BIRNAGAR,72.03,64.68,67.51,10.21%,10.21%,100.00%,2,2023
ITAHAR,80.53,47.53,48.96,40.98%,40.98%,100.00%,2,2023
KARANDEGHI,72.52,48.8,53.74,32.71%,32.71%,100.00%,2,2023
Raiganj Div Total,422.34,319.94,338.74,24.25%,24.25%,100.00%,2,2023
DALKHOLA,24.02,19.1,19.7,20.48%,20.48%,100.00%,2,2023
KANKI,44.92,32.06,29.99,33.23%,28.61%,93.54%,2,2023
GOALPOKHAR,54.94,34.35,34.49,37.48%,37.48%,100.00%,2,2023
ISLAMPUR,81.53,62.63,59.01,27.62%,23.18%,94.22%,2,2023
CHOPRA,65.07,39.48,36.84,43.39%,39.33%,93.31%,2,2023
Islampur Div Total,270.47,187.62,180.02,33.44%,30.63%,95.95%,2,2023
BALURGHAT,71.36,69.68,73.29,2.36%,2.36%,100.00%,2,2023
HILI,20.93,17.61,18.72,15.86%,15.86%,100.00%,2,2023
KUMARGUNJ,36.03,26.91,28.28,25.30%,25.30%,100.00%,2,2023
TAPAN,81.71,34.11,39.2,58.26%,58.26%,100.00%,2,2023
PATIRAM,31.04,22.56,22.5,27.51%,27.32%,99.74%,2,2023
Balurghat Div Total,241.06,170.86,181.99,29.12%,29.12%,100.00%,2,2023
BUNIADPUR,45.92,33.66,32.17,29.94%,26.70%,95.58%,2,2023
HARIRAMPUR,37.52,21.55,22.71,42.58%,42.58%,100.00%,2,2023
GANGARAMPUR,102.23,54.98,57.16,46.22%,46.22%,100.00%,2,2023
KUSHMUNDI,39.11,30.02,30.04,23.24%,23.24%,100.00%,2,2023
Buniadpur Div Total,224.79,140.21,142.08,37.63%,37.63%,100.00%,2,2023
RATHBARI,96.07,75.44,74.14,22.83%,21.47%,98.27%,3,2023
FULBARI,55.85,52.4,52.1,6.71%,6.17%,99.42%,3,2023
MOKDAMPUR,65.78,53.58,51.85,21.19%,18.56%,96.77%,3,2023
OLD MALDA,92.11,69.24,68.68,25.44%,24.83%,99.20%,3,2023
KALIACHAK,65.57,42.65,41.39,36.88%,34.96%,97.06%,3,2023
SUJAPUR,69.97,41.44,41.3,40.98%,40.78%,99.67%,3,2025
AIHO,54.92,38.95,38.46,29.96%,29.08%,98.76%,3,2023
MOTHABARI,49.86,37.41,35.9,28.01%,24.97%,95.95%,3,2023
MATHURAPUR,52.01,39.01,36.13,30.52%,24.99%,92.63%,3,2023
BAISNABNAGAR,37.6,28.9,27.31,27.37%,23.13%,94.49%,3,2023
GOLAPGANJ,39.56,29.94,27.06,31.59%,24.31%,90.39%,3,2023
South Malda Div Total,679.31,508.95,494.32,27.23%,25.08%,97.13%,3,2023
SAMSI,82.22,44.9,45.2,45.39%,45.39%,100.00%,3,2023
PARANPUR,51.73,27.99,27.8,46.26%,45.89%,99.32%,3,2023
GAZOLE,83.55,53.28,50.91,39.06%,36.23%,95.56%,3,2023
CHANCHAL,52.41,38.19,39.53,27.13%,27.13%,100.00%,3,2023
H.C. PUR,48.54,34.13,35.67,29.69%,29.69%,100.00%,3,2023
BHALUKA,55.39,28.98,29.33,47.68%,47.68%,100.00%,3,2023
BAMANGOLA,32.33,26.28,26.22,18.90%,18.74%,99.80%,3,2023
MALATIPUR,56.37,34.97,35.61,37.97%,37.97%,100.00%,3,2023
KUSHIDA,34.36,24.13,25.6,29.76%,29.76%,100.00%,3,2023
PANDUA,36.01,19.13,18.75,47.92%,46.88%,98.03%,3,2023
North Malda Div Total,532.92,331.98,334.62,37.71%,37.71%,100.00%,3,2023
RAIGANJ,96.1,71.19,75.73,25.92%,25.92%,100.00%,3,2023
KALIAGANJ,72.65,62,62.02,14.66%,14.66%,100.00%,3,2023
HEMTABAD,30.28,25.47,26.48,15.87%,15.87%,100.00%,3,2023
BIRNAGAR,72.3,64.82,65.64,10.34%,10.34%,100.00%,3,2023
ITAHAR,82.03,48.1,49.47,41.36%,41.36%,100.00%,3,2023
KARANDEGHI,73.24,49.04,52.62,33.04%,33.04%,100.00%,3,2023
Raiganj Div Total,426.59,320.62,331.97,24.84%,24.84%,100.00%,3,2023
DALKHOLA,24.27,19.26,19.64,20.63%,20.63%,100.00%,3,2023
KANKI,45.59,32.27,30.4,33.33%,29.22%,94.19%,3,2023
GOALPOKHAR,55.14,34.42,34.34,37.72%,37.58%,99.77%,3,2023
ISLAMPUR,81.89,61.6,58.2,28.94%,24.78%,94.48%,3,2023
CHOPRA,65.85,39.55,37.35,43.28%,39.95%,94.46%,3,2023
Islampur Div Total,272.75,187.1,179.92,34.03%,31.40%,96.16%,3,2023
BALURGHAT,72.34,70.3,70.06,3.15%,2.81%,99.65%,3,2023
HILI,21.49,18.22,17.99,16.32%,15.22%,98.71%,3,2023
KUMARGUNJ,36.71,27.55,27.72,24.96%,24.96%,100.00%,3,2023
TAPAN,83.66,34.47,38.4,58.80%,58.80%,100.00%,3,2023
PATIRAM,31.6,22.89,22.12,29.98%,27.56%,96.67%,3,2023
Balurghat Div Total,245.79,173.43,176.29,29.44%,29.44%,100.00%,3,2023
BUNIADPUR,47.08,34.03,32.28,31.44%,27.73%,94.86%,3,2023
HARIRAMPUR,38.6,21.78,22.53,43.57%,43.57%,100.00%,3,2023
GANGARAMPUR,102.83,55.89,54.29,47.21%,45.65%,97.13%,3,2023
KUSHMUNDI,39.73,30.12,29.7,25.24%,24.19%,98.62%,3,2023
Buniadpur Div Total,228.24,141.81,138.79,39.19%,37.87%,97.87%,3,2023
RATHBARI,93.97,71.8,70.33,25.16%,23.60%,97.96%,4,2023
FULBARI,57.55,56.19,55.13,4.21%,2.37%,98.12%,4,2023
MOKDAMPUR,65.54,53.44,51.69,21.14%,18.47%,96.72%,4,2023
OLD MALDA,91.69,69.87,68.81,24.95%,23.80%,98.49%,4,2023
KALIACHAK,65.22,42.76,41.37,36.58%,34.44%,96.75%,4,2023
SUJAPUR,70.18,41.82,41.41,40.99%,40.41%,99.03%,4,2023
AIHO,55.6,39.65,38.89,30.06%,28.69%,98.08%,4,2023
MOTHABARI,49.62,37.54,35.75,27.95%,24.35%,95.24%,4,2023
MATHURAPUR,51.59,39.18,36.08,30.07%,24.06%,92.09%,4,2023
BAISNABNAGAR,37.57,28.87,27.28,27.39%,23.14%,94.47%,4,2023
GOLAPGANJ,39.02,30.22,27.01,30.76%,22.54%,89.39%,4,2023
South Malda Div Total,677.53,511.32,493.74,27.13%,24.53%,96.56%,4,2023
SAMSI,81.72,45.16,44.91,45.04%,44.73%,99.44%,4,2023
PARANPUR,51.83,28.05,27.73,46.50%,45.89%,98.88%,4,2023
GAZOLE,83.78,54.07,50.24,40.03%,35.46%,92.91%,4,2023
CHANCHAL,52.22,38.39,39.02,26.48%,26.48%,100.00%,4,2023
H.C. PUR,47.78,34.37,35.65,28.06%,28.06%,100.00%,4,2023
BHALUKA,55.01,29.01,29.16,47.26%,47.26%,100.00%,4,2023
BAMANGOLA,32.5,27.19,25.84,20.49%,16.34%,95.04%,4,2023
MALATIPUR,56.44,35.6,35.74,36.93%,36.93%,100.00%,4,2023
KUSHIDA,34.69,24.33,25.48,29.87%,29.87%,100.00%,4,2023
PANDUA,36.07,19.62,18.84,47.78%,45.61%,96.02%,4,2023
North Malda Div Total,532.05,335.8,332.6,37.49%,36.89%,99.05%,4,2023
RAIGANJ,95.32,71.14,75.86,25.37%,25.37%,100.00%,4,2023
KALIAGANJ,72.66,62.58,61.82,14.93%,13.87%,98.78%,4,2023
HEMTABAD,30.06,25.44,26.39,15.38%,15.38%,100.00%,4,2023
BIRNAGAR,72.41,64.6,64.75,10.79%,10.79%,100.00%,4,2023
ITAHAR,81.63,49.01,49.29,39.96%,39.96%,100.00%,4,2023
KARANDEGHI,72.54,48.69,52.85,32.88%,32.88%,100.00%,4,2023
Raiganj Div Total,424.64,321.47,330.96,24.30%,24.30%,100.00%,4,2023
DALKHOLA,24.13,19.46,19.85,19.37%,19.37%,100.00%,4,2023
KANKI,45.52,32.34,30.38,33.26%,28.96%,93.94%,4,2023
GOALPOKHAR,54.35,34.43,33.78,37.85%,36.65%,98.10%,4,2023
ISLAMPUR,81.87,61.37,58.03,29.13%,25.04%,94.55%,4,2023
CHOPRA,65.68,39.59,37.14,43.46%,39.73%,93.81%,4,2023
Islampur Div Total,271.55,187.19,179.17,34.02%,31.07%,95.72%,4,2023
BALURGHAT,72.34,70.43,69.88,3.40%,2.64%,99.22%,4,2023
HILI,21.36,18.41,17.82,16.61%,13.82%,96.77%,4,2023
KUMARGUNJ,36.6,28.03,27.88,23.83%,23.42%,99.46%,4,2023
TAPAN,84.99,34.7,38.79,59.18%,59.18%,100.00%,4,2023
PATIRAM,31.43,22.89,22.18,29.44%,27.17%,96.89%,4,2023
Balurghat Div Total,246.72,174.45,176.54,29.29%,29.29%,100.00%,4,2023
BUNIADPUR,47.52,34.59,32.29,32.06%,27.21%,93.34%,4,2023
HARIRAMPUR,39.06,22.29,23.09,42.92%,42.92%,100.00%,4,2023
GANGARAMPUR,103.19,56.6,55.16,46.55%,45.15%,97.45%,4,2023
KUSHMUNDI,39.76,30.92,29.84,24.94%,22.23%,96.51%,4,2023
Buniadpur Div Total,229.53,144.41,140.38,38.84%,37.08%,97.21%,4,2023
RATHBARI,91.46,71.99,70.67,22.73%,21.28%,98.16%,5,2023
FULBARI,60.26,56.52,55.37,8.13%,6.21%,97.96%,5,2023
MOKDAMPUR,65.45,53.77,51.66,21.07%,17.85%,96.08%,5,2023
OLD MALDA,92.8,70.07,68.88,25.77%,24.50%,98.31%,5,2023
KALIACHAK,64.71,42.75,41.53,35.83%,33.93%,97.13%,5,2023
SUJAPUR,70.99,41.93,41.75,41.19%,40.95%,99.59%,5,2023
AIHO,57.54,40.62,39.32,31.65%,29.40%,96.81%,5,2023
MOTHABARI,49.21,37.7,36.24,26.37%,23.41%,96.13%,5,2023
MATHURAPUR,51.5,39.2,36.3,29.51%,23.89%,92.61%,5,2023
BAISNABNAGAR,37.63,28.86,27.35,27.30%,23.28%,94.76%,5,2023
GOLAPGANJ,38.27,30.48,27.2,28.93%,20.36%,89.24%,5,2023
South Malda Div Total,679.82,513.88,496.27,27.00%,24.41%,96.57%,5,2023
SAMSI,81.74,45.71,45.75,44.08%,44.08%,100.00%,5,2023
PARANPUR,52.09,28.11,27.98,46.28%,46.02%,99.53%,5,2023
GAZOLE,85.83,54.68,50.82,40.79%,36.30%,92.94%,5,2023
CHANCHAL,52.97,38.98,39.26,26.42%,26.42%,100.00%,5,2023
H.C. PUR,47.53,34.64,35.65,27.11%,27.11%,100.00%,5,2023
BHALUKA,55.23,28.75,29.23,47.95%,47.95%,100.00%,5,2023
BAMANGOLA,33.75,27.19,26.21,22.35%,19.43%,96.38%,5,2023
MALATIPUR,58.14,36.05,36.32,37.99%,37.99%,100.00%,5,2023
KUSHIDA,35.68,24.37,25.58,31.70%,31.70%,100.00%,5,2023
PANDUA,36.7,20.09,19.3,47.41%,45.24%,96.04%,5,2023
North Malda Div Total,539.66,338.58,336.09,37.72%,37.26%,99.26%,5,2023
RAIGANJ,96.14,71.02,76.54,26.14%,26.14%,100.00%,5,2023
KALIAGANJ,74.33,64.36,62.68,15.68%,13.42%,97.39%,5,2023
HEMTABAD,30.62,25.68,26.4,16.14%,16.14%,100.00%,5,2023
BIRNAGAR,72.94,64.73,65.08,11.25%,11.25%,100.00%,5,2023
ITAHAR,83.53,49.83,50.31,40.35%,40.35%,100.00%,5,2023
KARANDEGHI,73.97,48.8,53.47,34.03%,34.03%,100.00%,5,2023
Raiganj Div Total,431.53,324.41,334.46,24.82%,24.82%,100.00%,5,2023
DALKHOLA,24.8,19.52,20,21.29%,21.29%,100.00%,5,2023
KANKI,47.21,32.48,30.57,35.26%,31.21%,94.12%,5,2023
GOALPOKHAR,54.73,34.91,34.07,37.76%,36.21%,97.58%,5,2023
ISLAMPUR,83.65,61.74,58.41,30.17%,26.19%,94.62%,5,2023
CHOPRA,67.09,39.92,37.01,44.84%,40.50%,92.71%,5,2023
Islampur Div Total,277.49,188.57,180.06,35.11%,32.05%,95.49%,5,2023
BALURGHAT,73.87,70.86,70.25,4.89%,4.07%,99.14%,5,2023
HILI,21.93,18.49,17.93,18.23%,15.68%,96.98%,5,2023
KUMARGUNJ,37.33,28.55,28.34,24.08%,23.51%,99.26%,5,2023
