CCC,CUM. INPUT (MU),CUM. DEMAND(MU),CUM. COLLEC. (MU),CUM. AT&C LOSS,CUM. DIST. LOSS,COLL. EFF.,MONTH,YEAR
GAZOLE,103.11,59.24,58.15,43.60%,42.54%,98.16%,6,2024
CHANCHAL,62.62,42.92,42.29,32.47%,31.46%,98.53%,6,2024
H.C. PUR,50.75,38.4,38.23,24.68%,24.35%,99.57%,6,2024
BHALUKA,58.07,32.56,30.67,47.18%,43.93%,94.21%,6,2024
BAMANGOLA,36.86,31.18,30.72,16.65%,15.41%,98.53%,6,2024
MALATIPUR,64.86,37.88,36.73,43.37%,41.60%,96.97%,6,2024
KUSHIDA,40.41,27.61,26.62,34.13%,31.67%,96.40%,6,2024
PANDUA,40.26,24.25,22.61,43.85%,39.78%,93.24%,6,2024
North Malda Div Total,603.23,374.89,363.67,39.71%,37.85%,97.01%,6,2024
RAIGANJ,107.84,79.86,82.08,25.94%,25.94%,100.00%,6,2024
KALIAGANJ,86.61,70.85,69.14,20.17%,18.20%,97.59%,6,2024
HEMTABAD,35.76,28.8,28.8,19.47%,19.46%,99.99%,6,2024
BIRNAGAR,84.54,71.15,72.64,15.84%,15.84%,100.00%,6,2024
ITAHAR,89.75,55.27,55.69,38.41%,38.41%,100.00%,6,2024
KARANDEGHI,76,52.3,55.31,31.19%,31.19%,100.00%,6,2024
Raiganj Div Total,480.49,358.23,363.65,25.44%,25.44%,100.00%,6,2024
DALKHOLA,38.24,26.43,28.3,30.88%,30.88%,100.00%,6,2024
KANKI,58.11,39.41,33.97,41.53%,32.17%,86.20%,6,2024
GOALPOKHAR,63.15,39.62,38.73,38.66%,37.26%,97.77%,6,2024
ISLAMPUR,98.92,68.36,70.34,30.90%,30.90%,100.00%,6,2024
CHOPRA,77.41,45.38,44.1,43.03%,41.38%,97.18%,6,2024
Islampur Div Total,335.83,219.2,215.45,35.85%,34.73%,98.29%,6,2024
BALURGHAT,90.74,81.99,79.98,11.86%,9.65%,97.55%,6,2024
HILI,23.68,19.83,19.53,17.54%,16.29%,98.51%,6,2024
KUMARGUNJ,45.72,37.77,35.57,22.18%,17.38%,94.19%,6,2024
TAPAN,108.77,45.36,43.16,60.32%,58.29%,95.14%,6,2024
PATIRAM,37.07,27.36,26.17,29.41%,26.19%,95.63%,6,2024
Balurghat Div Total,305.98,212.31,204.41,33.19%,30.61%,96.28%,6,2024
BUNIADPUR,53.89,42.14,39.88,25.99%,21.80%,94.64%,6,2024
HARIRAMPUR,46.22,29.21,29.04,37.16%,36.80%,99.44%,6,2024
GANGARAMPUR,125.13,69.27,66.9,46.54%,44.64%,96.58%,6,2024
KUSHMUNDI,45.51,35.14,35.02,23.05%,22.79%,99.67%,6,2024
Buniadpur Div Total,270.74,175.75,170.84,36.90%,35.09%,97.21%,6,2024
RATHBARI,99.61,81.25,78.86,20.83%,18.43%,97.06%,7,2024
FULBARI,69.87,61.81,63.32,11.53%,11.53%,100.00%,7,2024
MOKDAMPUR,76.87,58.83,59.5,23.48%,23.48%,100.00%,7,2024
OLD MALDA,104.62,79.16,78.16,25.29%,24.33%,98.73%,7,2024
KALIACHAK,75.95,47.95,48.3,36.87%,36.87%,100.00%,7,2024
SUJAPUR,83.74,48.4,47.5,43.28%,42.20%,98.13%,7,2024
AIHO,67.62,46.86,47.27,30.71%,30.71%,100.00%,7,2024
MOTHABARI,57.24,40.12,41.28,29.92%,29.92%,100.00%,7,2024
MATHURAPUR,59.24,43.37,41.78,29.47%,26.78%,96.33%,7,2024
BAISNABNAGAR,44.32,32.21,31.87,28.08%,27.33%,98.96%,7,2024
GOLAPGANJ,43.28,35.88,32.49,24.93%,17.10%,90.55%,7,2024
South Malda Div Total,782.36,575.84,570.33,27.10%,26.40%,99.04%,7,2024
SAMSI,89.48,50.72,49.43,44.76%,43.32%,97.45%,7,2024
PARANPUR,59.85,31.19,31.25,47.89%,47.89%,100.00%,7,2024
GAZOLE,102.24,58.92,60.37,42.37%,42.37%,100.00%,7,2024
CHANCHAL,62.64,43.3,44.67,30.88%,30.88%,100.00%,7,2024
H.C. PUR,51.43,38.63,38.98,24.90%,24.90%,100.00%,7,2024
BHALUKA,58.62,32.96,31.5,46.26%,43.77%,95.57%,7,2024
BAMANGOLA,36.4,31.38,31.84,13.78%,13.78%,100.00%,7,2024
MALATIPUR,64.87,38.22,37.75,41.81%,41.08%,98.76%,7,2024
KUSHIDA,40.73,27.82,27.48,32.51%,31.70%,98.80%,7,2024
PANDUA,40.2,24.5,23.8,40.80%,39.05%,97.12%,7,2024
North Malda Div Total,606.45,377.63,377.06,37.83%,37.73%,99.85%,7,2024
RAIGANJ,108.45,80.53,83.57,25.74%,25.74%,100.00%,7,2024
KALIAGANJ,86.41,71.38,69.9,19.11%,17.39%,97.92%,7,2024
HEMTABAD,36.21,29.14,29.31,19.54%,19.54%,100.00%,7,2024
BIRNAGAR,84.86,71.69,73.65,15.53%,15.53%,100.00%,7,2024
ITAHAR,89.64,55.9,57.41,37.64%,37.64%,100.00%,7,2024
KARANDEGHI,76.34,52.84,57.03,30.78%,30.78%,100.00%,7,2024
Raiganj Div Total,481.91,361.48,370.86,24.99%,24.99%,100.00%,7,2024
DALKHOLA,38.38,26.7,28.76,30.42%,30.42%,100.00%,7,2024
KANKI,58.51,39.95,34.91,40.33%,31.71%,87.38%,7,2024
GOALPOKHAR,63.52,40.18,39.85,37.27%,36.74%,99.16%,7,2024
ISLAMPUR,97.57,69.35,71.32,28.93%,28.93%,100.00%,7,2024
CHOPRA,76.93,46.19,44.87,41.67%,39.96%,97.15%,7,2024
Islampur Div Total,334.9,222.38,219.72,34.39%,33.60%,98.80%,7,2024
BALURGHAT,90.68,82.49,81.68,9.92%,9.02%,99.02%,7,2024
HILI,23.63,20.53,20.45,13.46%,13.10%,99.59%,7,2024
KUMARGUNJ,45.6,37.86,36.33,20.34%,16.98%,95.96%,7,2024
TAPAN,108.16,45.62,44.21,59.12%,57.82%,96.91%,7,2024
PATIRAM,37.06,27.51,26.89,27.43%,25.75%,97.74%,7,2024
Balurghat Div Total,305.12,214.02,209.57,31.32%,29.86%,97.92%,7,2024
BUNIADPUR,53.92,42.2,41.81,22.46%,21.73%,99.06%,7,2024
HARIRAMPUR,46.34,29.38,29.83,36.59%,36.59%,100.00%,7,2024
GANGARAMPUR,125.38,69.99,69.43,44.62%,44.18%,99.21%,7,2024
KUSHMUNDI,45.51,35.48,35.92,22.03%,22.03%,100.00%,7,2024
Buniadpur Div Total,271.15,177.06,176.99,34.73%,34.70%,99.96%,7,2024
RATHBARI,102.5,82.21,80.23,21.73%,19.80%,97.59%,8,2024
FULBARI,69.72,62.33,63.74,10.60%,10.60%,100.00%,8,2024
MOKDAMPUR,76.79,59.32,61.21,22.75%,22.75%,100.00%,8,2024
OLD MALDA,105.36,80.08,79.45,24.59%,23.99%,99.22%,8,2024
KALIACHAK,76.77,48.79,48.95,36.44%,36.44%,100.00%,8,2024
SUJAPUR,84.81,49.16,48.17,43.19%,42.03%,98.00%,8,2024
AIHO,68.47,47.41,47.68,30.76%,30.76%,100.00%,8,2024
MOTHABARI,58.71,40.78,41.49,30.54%,30.54%,100.00%,8,2024
MATHURAPUR,59.57,43.83,41.96,29.56%,26.42%,95.73%,8,2024
BAISNABNAGAR,43.72,32.72,32.38,25.94%,25.17%,98.97%,8,2024
GOLAPGANJ,43.95,36.13,32.8,25.36%,17.79%,90.79%,8,2024
South Malda Div Total,790.37,582.76,578.07,26.86%,26.27%,99.20%,8,2024
SAMSI,91.24,51.4,50.64,44.50%,43.67%,98.53%,8,2024
PARANPUR,59.95,31.94,31.9,46.80%,46.73%,99.87%,8,2024
GAZOLE,103.93,59.34,61.15,42.90%,42.90%,100.00%,8,2024
CHANCHAL,63.71,43.89,45.34,31.11%,31.11%,100.00%,8,2024
H.C. PUR,51.73,38.93,39.01,24.74%,24.74%,100.00%,8,2024
BHALUKA,58.93,33.52,32.14,45.47%,43.13%,95.88%,8,2024
BAMANGOLA,37.7,31.63,31.69,16.09%,16.09%,100.00%,8,2024
MALATIPUR,67.05,39.13,38.26,42.94%,41.64%,97.76%,8,2024
KUSHIDA,40.2,28.17,27.83,30.77%,29.94%,98.81%,8,2024
PANDUA,41.92,24.87,23.99,42.77%,40.68%,96.48%,8,2024
North Malda Div Total,616.37,382.81,381.94,38.03%,37.89%,99.77%,8,2024
RAIGANJ,109.91,81.08,83.72,26.24%,26.24%,100.00%,8,2024
KALIAGANJ,86.83,71.8,70.07,19.31%,17.31%,97.59%,8,2024
HEMTABAD,36.77,29.45,29.42,20.00%,19.91%,99.90%,8,2024
BIRNAGAR,86.02,72.29,74.65,15.96%,15.96%,100.00%,8,2024
ITAHAR,91.02,56.06,57.73,38.41%,38.41%,100.00%,8,2024
KARANDEGHI,77.4,52.95,56.4,31.59%,31.59%,100.00%,8,2024
Raiganj Div Total,487.95,363.62,371.97,25.48%,25.48%,100.00%,8,2024
DALKHOLA,38.99,26.89,28.88,31.02%,31.02%,100.00%,8,2024
KANKI,59.5,41.37,35.33,40.63%,30.47%,85.39%,8,2024
GOALPOKHAR,64.33,40.58,40.71,36.91%,36.91%,100.00%,8,2024
ISLAMPUR,97.03,69.31,70.66,28.56%,28.56%,100.00%,8,2024
CHOPRA,77.35,46.78,46.36,40.07%,39.53%,99.10%,8,2024
Islampur Div Total,337.2,224.93,221.94,34.18%,33.29%,98.67%,8,2024
BALURGHAT,91.24,83.45,84.13,8.54%,8.54%,100.00%,8,2024
HILI,23.68,20.83,20.53,13.31%,12.04%,98.56%,8,2024
KUMARGUNJ,45.24,37.74,37.63,16.83%,16.57%,99.69%,8,2024
TAPAN,107.85,45.38,44.97,58.31%,57.93%,99.10%,8,2024
PATIRAM,37.16,27.6,27.05,27.21%,25.73%,98.01%,8,2024
Balurghat Div Total,305.16,214.99,214.3,29.78%,29.55%,99.68%,8,2024
BUNIADPUR,53.37,42.19,42.06,21.20%,20.94%,99.68%,8,2024
HARIRAMPUR,46.69,29.51,30.61,36.80%,36.80%,100.00%,8,2024
GANGARAMPUR,124.89,71.55,71.58,42.71%,42.71%,100.00%,8,2024
KUSHMUNDI,46.47,35.9,36.48,22.75%,22.75%,100.00%,8,2024
Buniadpur Div Total,271.43,179.15,180.73,34.00%,34.00%,100.00%,8,2024
RATHBARI,105.25,83.3,81.56,22.51%,20.85%,97.91%,9,2024
FULBARI,69.72,63.11,65.58,9.48%,9.48%,100.00%,9,2024
MOKDAMPUR,76.34,60.5,63.16,20.75%,20.75%,100.00%,9,2024
OLD MALDA,106.33,81.24,81.67,23.60%,23.60%,100.00%,9,2024
KALIACHAK,77.59,49.8,49.77,35.85%,35.82%,99.95%,9,2024
SUJAPUR,85.68,49.92,49.56,42.16%,41.74%,99.28%,9,2024
AIHO,68.51,48.68,49.45,28.94%,28.94%,100.00%,9,2024
MOTHABARI,59.86,41.71,42.63,30.32%,30.32%,100.00%,9,2024
MATHURAPUR,60.17,44.35,42.84,28.81%,26.29%,96.59%,9,2024
BAISNABNAGAR,43.68,33.17,33.11,24.19%,24.05%,99.82%,9,2024
GOLAPGANJ,44.69,36.71,33.79,24.38%,17.85%,92.05%,9,2024
South Malda Div Total,797.82,592.49,593.13,25.74%,25.74%,100.00%,9,2024
SAMSI,92.17,52.2,52.77,43.37%,43.37%,100.00%,9,2024
PARANPUR,60.55,33,33.78,45.49%,45.49%,100.00%,9,2024
GAZOLE,103.96,59.85,63.02,42.43%,42.43%,100.00%,9,2024
CHANCHAL,65.1,44.68,46.8,31.37%,31.37%,100.00%,9,2024
H.C. PUR,52.58,39.4,40.26,25.08%,25.08%,100.00%,9,2024
BHALUKA,59.94,33.96,32.86,45.18%,43.33%,96.74%,9,2024
BAMANGOLA,38.01,31.92,32.78,16.03%,16.03%,100.00%,9,2024
MALATIPUR,67.93,39.83,39.39,42.00%,41.36%,98.90%,9,2024
KUSHIDA,40.68,28.55,28.7,29.82%,29.82%,100.00%,9,2024
PANDUA,42.35,25.35,24.73,41.60%,40.13%,97.55%,9,2024
North Malda Div Total,623.26,388.74,395.1,37.63%,37.63%,100.00%,9,2024
RAIGANJ,111.3,81.82,84.73,26.48%,26.48%,100.00%,9,2024
KALIAGANJ,88.48,72.42,71.08,19.67%,18.16%,98.15%,9,2024
HEMTABAD,35.85,29.91,30.19,16.58%,16.58%,100.00%,9,2024
BIRNAGAR,86.96,73,75.95,16.06%,16.06%,100.00%,9,2024
ITAHAR,92.44,57.38,59.66,37.93%,37.93%,100.00%,9,2024
KARANDEGHI,78.65,53.83,56.21,31.55%,31.55%,100.00%,9,2024
Raiganj Div Total,493.68,368.36,377.81,25.39%,25.39%,100.00%,9,2024
DALKHOLA,39.6,27.26,28.71,31.16%,31.16%,100.00%,9,2024
KANKI,60.31,39.3,36.3,39.82%,34.83%,92.36%,9,2024
GOALPOKHAR,65,41.44,40.61,37.52%,36.24%,97.99%,9,2024
ISLAMPUR,97.51,70.33,70.19,28.02%,27.88%,99.80%,9,2024
CHOPRA,77.36,47.33,47.09,39.13%,38.81%,99.48%,9,2024
Islampur Div Total,339.78,225.67,222.9,34.40%,33.58%,98.77%,9,2024
BALURGHAT,91.52,84.61,85.12,7.55%,7.55%,100.00%,9,2024
HILI,23.51,21.01,20.73,11.85%,10.66%,98.67%,9,2024
KUMARGUNJ,45.16,38.16,37.86,16.15%,15.50%,99.23%,9,2024
TAPAN,107.51,45.81,45.46,57.71%,57.39%,99.23%,9,2024
PATIRAM,37.21,27.73,27.58,25.87%,25.48%,99.48%,9,2024
Balurghat Div Total,304.91,217.32,216.75,28.91%,28.73%,99.74%,9,2024
BUNIADPUR,53.52,42.31,42.86,20.95%,20.95%,100.00%,9,2024
HARIRAMPUR,47.34,30.08,31.07,36.46%,36.46%,100.00%,9,2024
GANGARAMPUR,124.74,72.9,73.61,41.55%,41.55%,100.00%,9,2024
KUSHMUNDI,48.8,36.4,37.12,25.40%,25.40%,100.00%,9,2024
Buniadpur Div Total,274.39,181.7,184.66,33.78%,33.78%,100.00%,9,2024
RATHBARI,108.27,84.05,81.16,25.04%,22.37%,96.56%,10,2024
FULBARI,69.95,63.53,64.71,9.18%,9.18%,100.00%,10,2024
MOKDAMPUR,76.54,60.84,61.89,20.51%,20.51%,100.00%,10,2024
OLD MALDA,107.68,81.99,80.4,25.34%,23.86%,98.05%,10,2024
KALIACHAK,78.6,50.66,50.15,36.19%,35.55%,99.00%,10,2024
SUJAPUR,86.78,50.52,49.21,43.29%,41.78%,97.42%,10,2024
AIHO,68.73,49.19,49.04,28.65%,28.43%,99.70%,10,2024
MOTHABARI,60.9,42.51,42.77,30.20%,30.20%,100.00%,10,2024
MATHURAPUR,60.63,44.62,42.02,30.69%,26.40%,94.17%,10,2024
BAISNABNAGAR,43.91,33.48,33.03,24.77%,23.74%,98.65%,10,2024
GOLAPGANJ,45.51,36.14,33.62,26.11%,20.59%,93.05%,10,2024
South Malda Div Total,807.49,597.52,588.01,27.18%,26.00%,98.41%,10,2024
SAMSI,93.4,53.13,52.06,44.25%,43.12%,98.00%,10,2024
PARANPUR,61.8,33.97,33.03,46.56%,45.03%,97.22%,10,2024
GAZOLE,105.36,60.57,61.84,42.51%,42.51%,100.00%,10,2024
CHANCHAL,65.5,45.35,46.38,30.76%,30.76%,100.00%,10,2024
H.C. PUR,53.4,40.05,39.59,25.86%,25.01%,98.86%,10,2024
BHALUKA,61.08,34.43,32.36,47.01%,43.63%,94.00%,10,2024
BAMANGOLA,38.45,32.11,31.73,17.48%,16.47%,98.79%,10,2024
MALATIPUR,68.94,40.45,38.7,43.87%,41.33%,95.67%,10,2024
KUSHIDA,41.61,29,28.51,31.47%,30.30%,98.32%,10,2024
PANDUA,42.93,25.69,24.57,42.78%,40.15%,95.61%,10,2024
North Malda Div Total,632.47,394.76,388.77,38.53%,37.58%,98.48%,10,2024
RAIGANJ,112.66,81.94,83.08,27.26%,27.26%,100.00%,10,2024
KALIAGANJ,89.17,72.61,70.17,21.30%,18.57%,96.65%,10,2024
HEMTABAD,36.05,30.31,29.73,17.52%,15.93%,98.11%,10,2024
BIRNAGAR,87.3,73.24,74.3,16.10%,16.10%,100.00%,10,2024
ITAHAR,94.25,58.48,58.84,37.95%,37.95%,100.00%,10,2024
KARANDEGHI,79.98,54.72,55.63,31.58%,31.58%,100.00%,10,2024
Raiganj Div Total,499.41,371.3,371.76,25.65%,25.65%,100.00%,10,2024
DALKHOLA,40.22,27.55,28.27,31.51%,31.51%,100.00%,10,2024
KANKI,61.22,39.74,36.54,40.32%,35.09%,91.95%,10,2024
GOALPOKHAR,65.48,41.94,40.01,38.89%,35.95%,95.42%,10,2024
ISLAMPUR,97.58,70.28,69.01,29.28%,27.98%,98.19%,10,2024
CHOPRA,77.61,47.2,46.18,40.49%,39.19%,97.86%,10,2024
Islampur Div Total,342.11,226.7,220.02,35.69%,33.74%,97.05%,10,2024
BALURGHAT,92.62,85.3,82.69,10.72%,7.90%,96.94%,10,2024
HILI,23.46,21.03,20.42,12.96%,10.37%,97.11%,10,2024
KUMARGUNJ,45.54,38.19,37.56,17.52%,16.12%,98.34%,10,2024
TAPAN,108.86,46.06,45.28,58.41%,57.69%,98.30%,10,2024
PATIRAM,37.44,27.84,27.4,26.82%,25.63%,98.40%,10,2024
Balurghat Div Total,307.92,218.43,213.35,30.71%,29.06%,97.67%,10,2024
BUNIADPUR,54.67,42.77,42.4,22.45%,21.77%,99.13%,10,2024
HARIRAMPUR,48.01,30.37,30.96,36.75%,36.75%,100.00%,10,2024
GANGARAMPUR,126.17,74.44,72.6,42.46%,41.00%,97.53%,10,2024
KUSHMUNDI,49.58,36.77,36.94,25.84%,25.84%,100.00%,10,2024
Buniadpur Div Total,278.44,184.35,182.89,34.31%,33.79%,99.21%,10,2024
RATHBARI,110.83,84.67,82.69,25.38%,23.60%,97.67%,11,2024
FULBARI,70.77,64,65.42,9.58%,9.58%,100.00%,11,2024
MOKDAMPUR,76.93,61.47,62.69,20.09%,20.09%,100.00%,11,2024
KALIACHAK,80.07,51.61,50.59,36.82%,35.55%,98.02%,11,2024
SUJAPUR,87.87,51.13,50.36,42.69%,41.81%,98.49%,11,2024
MOTHABARI,62.13,43.38,43.44,30.18%,30.18%,100.00%,11,2024
MATHURAPUR,61.7,45.04,43.36,29.71%,27.00%,96.28%,11,2024
BAISNABNAGAR,44.84,33.88,33.74,24.77%,24.46%,99.59%,11,2024
GOLAPGANJ,46.3,36.65,34.47,25.55%,20.84%,94.06%,11,2024
Malda Div Total,641.45,471.82,466.76,27.23%,26.44%,98.93%,11,2024
SAMSI,94.91,54.58,53.15,44.00%,42.50%,97.38%,11,2024
PARANPUR,63.46,34.9,33.99,46.44%,45.00%,97.39%,11,2024
CHANCHAL,66.08,47.09,46.9,29.03%,28.75%,99.61%,11,2024
H.C. PUR,54.47,40.9,40.66,25.35%,24.91%,99.42%,11,2024
BHALUKA,62.36,35.01,33.13,46.88%,43.85%,94.61%,11,2024
MALATIPUR,70.77,41.15,39.21,44.60%,41.85%,95.27%,11,2024
KUSHIDA,42.67,29.7,29.15,31.67%,30.38%,98.15%,11,2024
Chanchal Div Total,454.71,283.33,276.19,39.26%,37.69%,97.48%,11,2024
OLD MALDA,109,82.43,80.92,25.76%,24.37%,98.16%,11,2024
AIHO,69.06,49.76,49.8,27.94%,27.94%,100.00%,11,2024
GAZOLE,106.7,61.51,62.47,42.35%,42.35%,100.00%,11,2024
BAMANGOLA,38.97,32.17,31.92,18.08%,17.44%,99.22%,11,2024
PANDUA,43.45,26.19,24.81,42.90%,39.73%,94.74%,11,2024
Gazole Div Total,367.18,252.07,249.92,31.94%,31.35%,99.15%,11,2024
RAIGANJ,114.05,82.53,83.11,27.63%,27.63%,100.00%,11,2024
KALIAGANJ,89.78,73.15,70.51,21.47%,18.53%,96.39%,11,2024
HEMTABAD,36.47,30.47,29.66,18.68%,16.47%,97.37%,11,2024
BIRNAGAR,88,74.02,74.98,15.89%,15.89%,100.00%,11,2024
ITAHAR,95.83,59.63,60.15,37.77%,37.77%,100.00%,11,2024
KARANDEGHI,81.55,55.06,55.63,32.48%,32.48%,100.00%,11,2024
Raiganj Div Total,505.67,374.85,374.03,26.03%,25.87%,99.78%,11,2024
DALKHOLA,41.2,28.52,28.95,30.76%,30.76%,100.00%,11,2024
KANKI,62.43,40.26,36.94,40.82%,35.51%,91.76%,11,2024
GOALPOKHAR,66.49,42.67,40.23,39.50%,35.82%,94.28%,11,2024
ISLAMPUR,98.91,70.89,69.28,29.96%,28.33%,97.73%,11,2024
CHOPRA,78.19,47.16,46.24,40.87%,39.68%,98.04%,11,2024
Islampur Div Total,347.21,229.5,221.64,36.17%,33.90%,96.57%,11,2024
BALURGHAT,93.77,86.03,83.85,10.58%,8.26%,97.46%,11,2024
HILI,23.57,21,20.84,11.59%,10.91%,99.23%,11,2024
KUMARGUNJ,45.94,38.16,37.49,18.38%,16.92%,98.24%,11,2024
TAPAN,108.98,46.02,45.41,58.33%,57.77%,98.67%,11,2024
PATIRAM,37.67,27.94,27.58,26.79%,25.84%,98.72%,11,2024
Balurghat Div Total,309.92,219.15,215.16,30.58%,29.29%,98.18%,11,2024
BUNIADPUR,55.13,43.29,42.46,22.98%,21.47%,98.08%,11,2024
HARIRAMPUR,48.4,30.92,31.12,36.10%,36.10%,100.00%,11,2024
GANGARAMPUR,127.76,75.53,73.09,42.79%,40.88%,96.78%,11,2024
KUSHMUNDI,50.16,37.15,37.42,25.93%,25.93%,100.00%,11,2024
Buniadpur Div Total,281.45,186.9,184.09,34.59%,33.59%,98.50%,11,2024
RATHBARI,112.3,86.36,84.16,25.06%,23.10%,97.45%,12,2024
FULBARI,71.19,64.42,66.12,9.50%,9.50%,100.00%,12,2024
MOKDAMPUR,77.15,62.1,62.29,19.50%,19.50%,100.00%,12,2024
KALIACHAK,80.92,52.56,51.59,36.25%,35.05%,98.15%,12,2024
SUJAPUR,88.59,51.97,51.07,42.35%,41.34%,98.27%,12,2024
MOTHABARI,62.85,44.22,44.1,29.82%,29.63%,99.73%,12,2024
MATHURAPUR,62.28,46.04,44.46,28.62%,26.08%,96.56%,12,2024
BAISNABNAGAR,45.39,34.33,33.7,25.76%,24.35%,98.14%,12,2024
GOLAPGANJ,46.73,37.46,34.96,25.19%,19.83%,93.31%,12,2024
Malda Div Total,647.39,479.48,472.43,27.03%,25.94%,98.53%,12,2024
SAMSI,95.19,55.9,54.07,43.20%,41.27%,96.71%,12,2024
PARANPUR,64.29,35.95,34.43,46.45%,44.09%,95.77%,12,2024
CHANCHAL,66.34,47.82,47.51,28.39%,27.93%,99.36%,12,2024
H.C. PUR,55.03,41.45,41.05,25.41%,24.67%,99.02%,12,2024
BHALUKA,62.98,34.9,33.68,46.53%,44.58%,96.49%,12,2024
MALATIPUR,71.32,41.46,40.75,42.86%,41.87%,98.29%,12,2024
KUSHIDA,43.23,30.13,29.39,32.01%,30.29%,97.54%,12,2024
Chanchal Div Total,458.38,287.62,280.86,38.73%,37.25%,97.65%,12,2024
OLD MALDA,109.7,83.84,82.32,24.96%,23.57%,98.19%,12,2024
AIHO,69.17,49.99,50.09,27.73%,27.73%,100.00%,12,2024
GAZOLE,106.77,62.12,62.96,41.83%,41.83%,100.00%,12,2024
BAMANGOLA,39.05,32.39,32.17,17.62%,17.06%,99.32%,12,2024
PANDUA,43.44,26.56,25.31,41.74%,38.85%,95.27%,12,2024
Gazole Div Total,368.14,254.91,252.85,31.32%,30.76%,99.20%,12,2024
RAIGANJ,114.53,83.1,83.67,27.44%,27.44%,100.00%,12,2024
KALIAGANJ,90.06,73.93,71.37,20.75%,17.91%,96.54%,12,2024
HEMTABAD,36.58,31.16,30.33,17.09%,14.81%,97.32%,12,2024
BIRNAGAR,89.15,74.91,75.26,15.97%,15.97%,100.00%,12,2024
ITAHAR,96.53,60.53,60.93,37.29%,37.29%,100.00%,12,2024
KARANDEGHI,82.12,55.36,56.4,32.59%,32.59%,100.00%,12,2024
Raiganj Div Total,508.97,379,377.96,25.74%,25.54%,99.73%,12,2024
DALKHOLA,41.59,28.83,29.26,30.67%,30.67%,100.00%,12,2024
KANKI,63.03,40.67,37.7,40.19%,35.47%,92.69%,12,2024
GOALPOKHAR,67.03,43.65,40.7,39.29%,34.87%,93.22%,12,2024
ISLAMPUR,99.59,71.82,70.21,29.50%,27.88%,97.75%,12,2024
CHOPRA,78.2,47.71,47.2,39.64%,38.98%,98.93%,12,2024
Islampur Div Total,349.43,232.7,225.06,35.59%,33.41%,96.72%,12,2024
BALURGHAT,94.51,86.88,84.66,10.42%,8.07%,97.45%,12,2024
HILI,23.68,21.15,21.01,11.26%,10.68%,99.36%,12,2024
KUMARGUNJ,46.18,37.84,38.14,18.05%,18.05%,100.00%,12,2024
TAPAN,108.37,45.92,46.49,57.63%,57.63%,100.00%,12,2024
PATIRAM,37.84,28.15,27.95,26.14%,25.62%,99.30%,12,2024
Balurghat Div Total,310.57,219.94,218.25,29.72%,29.18%,99.23%,12,2024
BUNIADPUR,55.32,43.47,42.21,23.70%,21.42%,97.10%,12,2024
HARIRAMPUR,48.36,31.03,30.81,36.29%,35.84%,99.30%,12,2024
GANGARAMPUR,128.64,76.28,73.99,42.48%,40.70%,97.00%,12,2024
KUSHMUNDI,50.47,37.46,37.58,25.78%,25.78%,100.00%,12,2024
Buniadpur Div Total,282.8,188.25,184.6,34.72%,33.43%,98.06%,12,2024
RATHBARI,113.26,87.61,84.48,25.41%,22.65%,96.42%,1,2025
FULBARI,71.37,64.76,66.74,9.27%,9.27%,100.00%,1,2025
MOKDAMPUR,76.97,62.63,62.88,18.63%,18.63%,100.00%,1,2025
KALIACHAK,81.38,53.33,52.77,35.16%,34.47%,98.95%,1,2025
SUJAPUR,89.05,52.55,51.87,41.75%,40.99%,98.71%,1,2025
MOTHABARI,63.24,45.01,44.5,29.64%,28.83%,98.87%,1,2025
MATHURAPUR,62.54,47.96,45.83,26.71%,23.31%,95.56%,1,2025
BAISNABNAGAR,45.64,34.89,34.99,23.55%,23.55%,100.00%,1,2025
GOLAPGANJ,47.05,37.76,35.77,23.97%,19.74%,94.73%,1,2025
Malda Div Total,650.49,486.49,479.82,26.24%,25.21%,98.63%,1,2025
SAMSI,95.24,56.97,55.88,41.33%,40.18%,98.09%,1,2025
PARANPUR,65.02,36.57,34.72,46.60%,43.76%,94.94%,1,2025
CHANCHAL,66.51,48.37,47.74,28.22%,27.27%,98.70%,1,2025
H.C. PUR,55.33,41.97,41.76,24.53%,24.14%,99.48%,1,2025
BHALUKA,63.28,35.23,34.34,45.74%,44.33%,97.48%,1,2025
MALATIPUR,71.67,41.99,41.23,42.47%,41.41%,98.18%,1,2025
KUSHIDA,43.68,30.59,30.12,31.05%,29.96%,98.45%,1,2025
Chanchal Div Total,460.73,291.7,285.79,37.97%,36.69%,97.97%,1,2025
OLD MALDA,110.47,84.69,82.47,25.35%,23.34%,97.38%,1,2025
AIHO,69.5,49.97,48.94,29.58%,28.10%,97.94%,1,2025
GAZOLE,107.63,62.95,63.55,41.51%,41.51%,100.00%,1,2025
BAMANGOLA,39.05,32.76,32.68,16.31%,16.11%,99.76%,1,2025
PANDUA,43.52,26.63,25.48,41.45%,38.81%,95.68%,1,2025
Gazole Div Total,370.17,257,253.12,31.62%,30.57%,98.49%,1,2025
RAIGANJ,114.95,83.48,83.67,27.37%,27.37%,100.00%,1,2025
KALIAGANJ,90.31,74.22,71.38,20.96%,17.81%,96.17%,1,2025
HEMTABAD,37,31.71,30.3,18.12%,14.30%,95.55%,1,2025
BIRNAGAR,88.62,75.59,75.47,14.84%,14.70%,99.84%,1,2025
ITAHAR,97.38,60.9,59.83,38.56%,37.46%,98.24%,1,2025
