Labour Code,Description,Unit,Rate (Rs),lab_sl
L0079,SUPPLY & ERECTION OF CAST IRON CABLE MARKER ON CONCRETE FOUNDATION BLOCKS AS PER DRAWING NO. PLN(D)/SS/128,NOS,300,79
L0080,FIXING OF 33 KV LA WITH SUPPLY OF BASE PLATE,NOS,1100,80
L0081,STRINGING & SAGGING BY ACSR 50 4 WIRE,KM,9715,81
L0082,STRINGING & SAGGING BY ACSR 50 2 WIRE,KM,6184,82
L0083,FIXING OF 1 PH S/C,NOS,2254,83
L0084,ERECTION OF RAIL/H-BEAM POLE UPTO 13M LONG HT,NOS,4141,84
L0085,ERECTION OF DP STRUCTURE RAIL/H-BEAM POLE,NOS,12421,85
L0086,ERECTION OF 4P STRUCTURE RAIL/H-BEAM POLE,NOS,31625,86
L0087,FIXING OF PIN INSULATOR 33 KV,NOS,72,87
L0088,FIXING OF DISC INSULATOR 33 KV,NOS,107,88
L0089,STRINGING & SAGGING BY ACSR 100 3 WIRE,KM,16544,89
L0090,RE-FIXING OF SERVICE CONNECTION 1 PH,NOS,150,90
L0091,ERECTION OF FOUR POLE STRUCTURE BY 8 MTR PCC POLE HL,KM,30100,91
L0092,ERECTION OF FOUR POLE STRUCTURE BY 8 MTR PCC POLE LL,NOS,36000,92
L0093,ERECTION OF DOUBLE POLE STRUCTURE BY 8 MTR PCC POLE,NOS,18000,93
L0094,STRINGING & SAGG. 200 SQ. MM (PANTHER) CONDUCTOR (3 WIRE),NOS,30000,94
L0095,LAYING OF 11KV 3X400SQMM XLPE CABLE,NOS,62000,95
L0096,ERECTION WITH ALL FITTING FP 8MTR PCC POLE FIXING OF ISOLATOR AND CONCRETE STRUCTURE,NOS,40000,96
L0097,INSTALLATION OF 6.3MVA PTR WITH ALL FITTINGS,NOS,120000,97
L0098,FIXING OF 33KV CT WITH ALL FITTINGS,NOS,21000,98
L0099,INSTALLATION OF RTCC PANEL FOR 6.3MVA PTR,NOS,8000,99
L0100,INSTALLATION OF 33KV CR PANEL FOR PTR,NOS,15000,100
L0101,INSTALLATION OF 11KV INCOMER,NOS,15000,101
L0102,INSTALLATION OF BUS COUPLER WITH ADAPTOR,NOS,15000,102
L0103,LAYING OF 1.1KV CU CONTROL CABLER 4CX2.5 SQMM,NOS,16000,103
L0104,LAYING OF 1.1KV CU CONTROL CABLER 8CX2.5 SQMM,NOS,20000,104
L0105,LAYING OF 1.1KV CU CONTROL CABLER 12CX2.5 SQMM,NOS,20000,105
L0106,FIXING OF 33KV VCB OUTDOOR,NOS,20000,106
L0107,FIXING OF END TERMINATION JOINT INDOOR 3X400SQMM,NOS,2023,107
L0108,FIXING OF END TERMINATION JOINT OUTDOOR 3X400SQMM,NOS,2023,108
L0109,FIXING OF 33KV LIGHTING ARRESTOR,NOS,6000,109
L0110,PIPE EARTHING COMPLETE,NOS,3816,110
L0111,LAYING OF 11 KV 3 CORE 95/120 SQMM XLPE UG CABLE,M,42,111
L0112,LAYING OF 11 KV 3 CORE 185/240 SQMM XLPE UG CABLE,M,52,112
L0113,CABLE JOINTING ID/OD 11 KV XLPE 3X95/120 SQMM,NOS,1369,113
L0114,CABLE JOINTING ID/OD 11 KV XLPE 3X185/240 SQMM,NOS,1685,114
L0115,"ERECTION OF 12KV 350MVA,400A I/D SERIES TRIP METERING SWG ",NOS,6628,115
L0116,EARTHING ARRANGEMENT OF THE METERING VCB,NOS,5038,116
L0117,ERECTION OF 315/250 KVA DTR,NOS,7248,117
L0118,FIXING OF KIOSK AND MAIN SWITCH  AND COMPLETE CONNECTION WITH PVC CABLE  ,NOS,2155,118
L0119,LAYING OF 11 KV 4 CORE 95/120 SQMM XLPE UG CABLE,MTR,31,119
L0120,LAYING OF 11 KV 4 CORE 185 SQMM XLPE UG CABLE,MTR,39,120
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
